product name,product category,product price,product link,product image
ASUS VY229HF 21.45 Inch 100Hz FHD IPS Eye Care Gaming Monitor,Monitors,13500,https://www.startech.com.bd/asus-vy229hf-100hz-fhd-gaming-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/asus/vy229hf/vy229hf-01-228x228.webp
"LG 22MK430H-B 22"" Full HD IPS LED Monitor with AMD FreeSync",Monitors,12400,https://www.startech.com.bd/lg-22mk430h-b-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/22mk430h-b/22mk430h-b-228x228.jpg
"HP M22f 22"" FHD IPS Monitor",Monitors,12300,https://www.startech.com.bd/hp-m22f-22-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/m22f/m22f-228x228.jpg
"Xiaomi Redmi G24 23.8"" 180Hz IPS FHD Gaming Monitor",Monitors,14500,https://www.startech.com.bd/xiaomi-redmi-g24-180hz-ips-fhd-gaming-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/xiaomi/redmi-g24-180hz/redmi-g24-180hz-01-228x228.webp
"Dahua DHI-LM24-B201E 23.8"" 100hz IPS FHD Monitor",Monitors,16500,https://www.startech.com.bd/dahua-dhi-lm24-b201e-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dahua/dhi-lm24-b201e/dhi-lm24-b201e-01-228x228.webp
"Dahua DHI-LM24-B201S-B3 24"" Full HD IPS LED Monitor",Monitors,15300,https://www.startech.com.bd/dahua-dhi-lm24-b201s-b3-24-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dahua/dhi-lm24-b201s-b3/dhi-lm24-b201s-b3-01-228x228.webp
Dahua LM24-B201S 23.8 inch 100Hz FHD IPS Monitor,Monitors,15500,https://www.startech.com.bd/dahua-lm24-b201s-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dahua/lm24-b201s/lm24-b201s-01-228x228.webp
"Xiaomi Redmi P27FBB-RA 27"" FHD 100Hz Professional Monitor",Monitors,15200,https://www.startech.com.bd/xiaomi-redmi-p27fbb-ra-27-inch-professional-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/xiaomi/p27fbb-ra/p27fbb-ra-01-228x228.webp
"ViewSonic VA2432-MHD 24"" 100Hz IPS FHD Monitor",Monitors,16000,https://www.startech.com.bd/viewsonic-va2432-mhd-ips-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/va2432-mhd/va2432-mhd-01-228x228.webp
"Dahua DHI-LM25-B211B 24.5"" 120Hz IPS FHD Monitor",Monitors,16900,https://www.startech.com.bd/dahua-dhi-lm25-b211b-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/dahua/dhi-lm25-b211b/dhi-lm25-b211b-01-228x228.webp
"AOC 24B20JH2 23.8"" 100Hz 1ms FHD IPS Panel Monitor",Monitors,15500,https://www.startech.com.bd/aoc-24b20jh2-100hz-fhd-ips-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/aoc/24b20jh2/24b20jh2-08-228x228.webp
"PHILIPS 241V8 24"" IPS 100Hz FHD Monitor",Monitors,17000,https://www.startech.com.bd/philips-241v8-24-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/philips/241v8/221v8-01-228x228.jpg
"Aiwa MF2528-B 24.5"" Full HD IPS 100Hz Monitor",Monitors,16800,https://www.startech.com.bd/aiwa-mf2528-b-100hz-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/aiwa/mf2528-b/mf2528-b-01-228x228.webp
"Samsung LS24D300GAW 23.8"" 100Hz FHD IPS Monitor",Monitors,17300,https://www.startech.com.bd/samsung-ls24d300gaw-23-8-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/samsung/ls22d300gaw/ls22d300gaw-01-228x228.webp
Viewsonic VA240A-H 24” FHD 120Hz IPS Monitor,Monitors,17500,https://www.startech.com.bd/viewsonic-va240a-h-24-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/viewsonic/va240a-h/va240a-h-001-228x228.webp
"MSI PRO MP243X 23.8"" 100Hz IPS FHD Monitor",Monitors,17000,https://www.startech.com.bd/msi-pro-mp243x-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/msi/pro-mp243x/pro-mp243x-01-228x228.webp
"Asus VA229QSB 21.5"" IPS Full HD Eye Care Monitor",Monitors,18000,https://www.startech.com.bd/asus-va229qsb-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/asus/va229qsb/va229qsb-01-228x228.jpg
ASUS VY249HF-R 24 Inch 100Hz FHD IPS Eye Care Gaming Monitor,Monitors,18000,https://www.startech.com.bd/asus-vy249hf-r-eye-care-gaming-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/asus/vy249hf-r/vy249hf-r-01-228x228.webp
"MSI PRO MP252 24.5"" 100Hz IPS FHD Monitor",Monitors,17700,https://www.startech.com.bd/msi-pro-mp252-24-5-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/msi/mp252/mp252-01-228x228.webp
"Asus VA229QSBZ 21.5"" IPS Full HD Eye Care Monitor",Monitors,18500,https://www.startech.com.bd/asus-va229qsbz-215-ips-full-hd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/asus/va229qsb/va229qsb-01-228x228.jpg
ASUS VY249HGR 23.8 inch 120Hz FHD IPS Eye Care Gaming Monitor,Monitors,18500,https://www.startech.com.bd/asus-vy249hgr-23-8-inch-gaming-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/asus/vy249hgr/vy249hgr-01-228x228.webp
"MSI PRO MP251 24.5"" 100Hz FHD Monitor",Monitors,17300,https://www.startech.com.bd/msi-pro-mp251-24-5-inch-100hz-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/msi/mp251/pro-mp251-01-228x228.webp
Xiaomi Redmi G27 27-Inch 180Hz FHD IPS Gaming Monitor,Monitors,18200,https://www.startech.com.bd/xiaomi-redmi-g27-27-inch-180hz-gaming-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/xiaomi/redmi-g27/xiaomi-redmi-g27-01-228x228.webp
Xiaomi Redmi X27G 165Hz FHD IPS Gaming Monitor,Monitors,17850,https://www.startech.com.bd/xiaomi-redmi-x27g-165hz-fhd-gaming-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/xiaomi/redmi-x27g/redmi-x27g-01-228x228.webp
"Lenovo L24i-40 23.8"" 100Hz FHD IPS Monitor",Monitors,17500,https://www.startech.com.bd/lenovo-l24i-40-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/lenovo/l24i-40/l24i-40-01-228x228.webp
"Aiwa MD2404-F 24"" Full HD IPS 180Hz Gaming Monitor",Monitors,19000,https://www.startech.com.bd/aiwa-md2404-f-24-inch-180hz-gaming-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/aiwa/md2404-f/md2404-f-001-228x228.webp
"LG 24MR400-B 24"" 100Hz IPS FHD FreeSync Monitor",Monitors,18000,https://www.startech.com.bd/lg-24mr400-b-fhd-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/24mr400-b/24mr400-b-01-228x228.webp
Xiaomi Redmi G27 27-Inch 165 Hz FHD IPS Gaming Monitor,Monitors,17500,https://www.startech.com.bd/xiaomi-redmi-g27-fhd-gaming-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/xiaomi/redmi-g27/xiaomi-redmi-g27-01-228x228.webp
"LG 25MS500-B 25"" FHD 100Hz IPS Monitor",Monitors,20000,https://www.startech.com.bd/lg-25ms500-b-fhd-ips-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/25ms500-b/25ms500-b-01-228x228.webp
